key,지역,정보공시 학교코드,학교명,교과교실제(지정?운영),자율학교(지정?운영),수준별 수업(운영),전체학생수,연간1인당 보건실이용건수,일반직계,별정직계(2018년이후),기타직계(2019년이후),특수학급 학급당 학생수,순회학급 학급당 학생수,수업교원 1인당 학생수,체육장 개방여부,체육관 개방여부,강당 개방여부,일반교과교실 개방여부,특별교실 개방여부,시청각실 개방여부,수석교사(계),전문상담교사(계),사서교사(계),보건교사(계),영양교사(계),체력 1등급 (%),체력 2등급 (%),체력 3등급 (%),체력 4등급 (%),체력 5등급 (%),교육청금액,자치단체금액,보호자금액,보호자비율,금전및 유가증권금액,도서및 물품금액,수목시설및 재산금액,학교교육시설 보수확충금액,교육용기자재 및도서금액,학교체육학예 활동금액,학생복지및 자치활동지원금액,지도교사수-동아리?학생자치활동,지도교사수-또래활동,지도교사수-교육주간 활동,지도교사수-기타 학교폭력 예방활동,참여학생수-동아리?학생자치활동,참여학생수-또래활동,참여학생수-교육주간 활동,참여학생수-기타 학교폭력 예방활동,전체학생수_안전교육 계획 및 실시현황,생활안전교육 시간(단위활동차시)-합계,교통안전교육 시간(단위활동차시)-합계,폭력예방및신변보호교육 시간(단위활동차시)-합계,약물중독예방교육 시간(단위활동차시) - 합계 (2020년 이후),지능정보서비스과의존관련교육 시간(단위활동차시) - 합계 (2023년 이후),직업안전교육 시간(단위활동차시)-합계,응급처치교육 시간(단위활동차시)-합계,주 출입구 접근로 설치여부,장애인 전용 주차구역 지정여부,주 출입구 높이차이 제거여부,출입구(문) 설치유무,복도,계단/승강기/경사로/휠체어리프트 유무,장애인용 대변기 설치여부,장애인용 소변기 설치여부,점자블록 설치여부,유도 및 안내설비 설치여부,경보 및 피난설비 설치여부,상담실적(내부상담전문가),상담실적(외부상담전문가),교수학습공간 일반교실,교수학습공간 교과교실,교수학습공간 수준별교실,교수학습공간 특별교실,학생자율동아리 동아리수,창의적체험활동동아리 동아리수
S000003511-2021,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,0,1,0,614.0,1.1,1.0,0.0,10.0,5.0,0.0,19.7,무,무,무,무,무,무,0.0,0.0,0.0,1.0,1.0,0.0519303101270314,0.3861057486057486,0.42747496346284,0.0985623372815554,0.007537688442211,187721.0,187724.0,0.0,0.0,0.0,5800000.0,0.0,0.0,0.0,0.0,0.0,0,1,0,12,0,8,0,330,608,4.6,2.0,11.5,4.0,4.0,2.0,1.4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,280.0,0.0,28.0,1.0,0.0,12.0,8.0,8.0
S000003511-2022,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,0,1,0,611.0,7.4,1.0,0.0,14.0,5.0,0.0,19.7,무,무,무,무,무,무,0.0,0.0,0.0,1.0,1.0,0.1581395348837209,0.5162790697674419,0.3255813953488372,0.0,0.0,240361.0,233190.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,10,36,0,8,600,600,606,12.0,11.0,8.0,10.0,6.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,265.0,0.0,28.0,1.0,0.0,12.0,0.0,27.0
S000003511-2023,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,0,1,0,612.0,14.8,1.0,0.0,14.0,4.0,0.0,19.1,무,무,무,무,무,무,0.0,0.0,0.0,1.0,1.0,0.014018691588785,0.1962616822429906,0.5420560747663551,0.2102803738317757,0.0373831775700934,370443.0,275640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,36,36,0,52,610,610,0,607,10.0,10.0,14.0,4.0,6.0,3.0,4.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,750.0,0.0,28.0,1.0,0.0,12.0,0.0,30.0
S000003511-2024,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,0,1,0,610.0,15.6,1.0,0.0,13.0,5.0,0.0,19.1,무,무,무,무,무,무,0.0,0.0,0.0,1.0,1.0,0.0747663551401869,0.5046728971962616,0.3598130841121495,0.0607476635514018,0.0,418437.0,303126.0,0.0,0.0,56650000.0,1395709.0,0.0,56600000.0,0.0,0.0,0.0,2,36,36,0,52,610,610,0,606,10.0,8.0,5.0,4.0,4.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,750.0,0.0,28.0,1.0,0.0,12.0,0.0,29.0
S000003514-2021,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,1,0,1,625.0,2.3,3.0,0.0,7.0,6.0,0.0,11.2,무,무,시설없음,무,무,무,0.0,0.0,0.0,1.0,1.0,0.0747663551401869,0.5046728971962616,0.3598130841121495,0.0607476635514018,0.0,315141.0,73102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,618,14.0,8.3,17.7,6.0,3.3,1.0,3.7,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,252.0,20.0,24.0,5.0,0.0,21.0,8.0,8.0
S000003514-2022,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,0,0,1,573.0,7.3,3.0,0.0,7.0,3.0,0.0,11.6,무,무,시설없음,무,무,무,0.0,0.0,0.0,2.0,1.0,0.0536332179930795,0.3823529411764705,0.4532871972318339,0.1089965397923875,0.0017301038062283,411947.0,129269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3001420.0,0,0,0,0,0,0,0,0,567,19.0,9.0,18.0,7.3,5.0,1.3,2.3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,554.0,59.0,24.0,5.0,0.0,21.0,6.0,40.0
S000003514-2023,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,0,0,1,582.0,12.9,3.0,0.0,12.0,6.0,0.0,11.4,유,무,시설없음,무,무,무,0.0,1.0,0.0,2.0,1.0,0.0907534246575342,0.4537671232876712,0.3493150684931507,0.1010273972602739,0.0051369863013698,343241.0,285452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,579,5.3,3.0,17.0,3.0,3.0,2.0,0.6,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,315.0,27.0,24.0,5.0,0.0,21.0,3.0,43.0
S000003514-2024,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,0,0,1,559.0,12.7,3.0,0.0,13.0,6.0,0.0,11.5,유,무,시설없음,무,무,무,0.0,1.0,0.0,2.0,1.0,0.0825852782764811,0.4578096947935368,0.3842010771992818,0.0700179533213644,0.0053859964093357,291978.0,299312.0,0.0,0.0,24620068.0,75000000.0,0.0,0.0,0.0,22620000.0,3033550.0,0,0,0,3,0,0,0,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,461.0,14.0,24.0,5.0,0.0,21.0,3.0,70.0
S000003540-2021,서울특별시 강남구,S000003540,국립국악고등학교,0,0,0,443.0,1.2,16.0,0.0,33.0,0.0,0.0,10.7,무,시설없음,무,무,무,무,0.0,1.0,0.0,0.0,1.0,0.0825852782764811,0.4578096947935368,0.3842010771992818,0.0700179533213644,0.0053859964093357,1995470.0,0.0,352190.0,7.7,101000000.0,0.0,0.0,0.0,0.0,8000000.0,103200000.0,15,1,0,10,36,12,0,40,443,10.0,8.0,5.0,3.0,2.0,1.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,미설치,437.0,0.0,15.0,33.0,0.0,4.0,0.0,30.0
S000003540-2022,서울특별시 강남구,S000003540,국립국악고등학교,0,1,0,438.0,3.2,16.0,0.0,32.0,0.0,0.0,10.7,무,시설없음,무,무,무,무,0.0,1.0,0.0,0.0,1.0,0.0251716247139588,0.4736842105263157,0.448512585812357,0.0503432494279176,0.0022883295194508,164518.0,0.0,0.0,0.0,370895000.0,0.0,0.0,0.0,4895000.0,10000000.0,135700000.0,3,10,35,8,34,35,438,43,438,9.0,9.0,5.0,3.0,2.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,미설치,572.0,0.0,15.0,33.0,0.0,4.0,0.0,28.0
S000003540-2023,서울특별시 강남구,S000003540,국립국악고등학교,0,1,0,437.0,4.7,16.0,0.0,34.0,0.0,0.0,10.1,무,시설없음,무,무,무,무,0.0,2.0,0.0,0.0,1.0,0.0186046511627906,0.3581395348837209,0.4604651162790698,0.1558139534883721,0.0069767441860465,402481.0,2573790.0,59031.0,1.8,214000000.0,0.0,0.0,0.0,0.0,0.0,112700000.0,3,10,35,8,30,36,438,46,437,8.0,8.0,5.0,5.0,2.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,370.0,0.0,15.0,33.0,0.0,4.0,0.0,35.0
S000003540-2024,서울특별시 강남구,S000003540,국립국악고등학교,1,1,0,436.0,3.9,14.0,0.0,30.0,0.0,0.0,10.7,무,시설없음,무,무,무,무,0.0,2.0,0.0,0.0,1.0,0.0186915887850467,0.3878504672897196,0.4672897196261682,0.1121495327102803,0.014018691588785,3240130.0,0.0,829430.0,17.4,116000000.0,3400000.0,0.0,0.0,0.0,5600000.0,102000000.0,3,10,35,8,30,35,438,43,436,8.0,8.0,5.0,5.0,2.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,263.0,5.0,15.0,33.0,0.0,4.0,0.0,32.0
